Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for East Anglia
Areal series, starting in 1836
Last updated 01-Jan-2024 10:44
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836   44.1   47.0   85.2   55.2   16.9   58.7   46.5   29.6   82.6   94.0   80.4   42.4     ---   157.4   134.8   257.0   682.6
1837   64.8   54.3   20.7   43.4   33.9   37.0   46.9   96.2   39.1   49.0   52.1   47.1   161.5    98.0   180.2   140.2   584.6
1838   16.3   33.7   30.9   31.8   22.8   84.4   47.9   41.1   55.6   47.9   69.2   34.3    97.2    85.6   173.3   172.7   515.9
1839   38.2   43.1   46.3   27.2   29.2   70.8   78.6   66.1   70.6   46.0   86.1   55.8   115.6   102.7   215.6   202.7   658.0
1840   56.7   23.9   12.8    5.9   63.8   36.6   52.9   32.0   61.1   41.6   69.4   10.6   136.4    82.5   121.5   172.1   467.3
1841   52.2   29.3   33.7   36.2   42.8   60.6   94.4   74.9   85.6  123.4   75.3   57.7    92.2   112.7   229.8   284.3   766.1
1842   33.5   28.8   60.7   20.2   43.2   45.9   70.0   37.1  100.1   44.2   93.3   21.6   120.1   124.1   153.0   237.6   598.7
1843   33.2   59.0   22.6   45.3  105.4   46.3   57.5  117.2   22.4  112.1   57.8    7.9   113.8   173.3   221.1   192.4   686.8
1844   49.4   55.0   52.2    7.5   12.7   40.6   58.0   59.2   39.0  104.2   77.0   13.0   112.3    72.5   157.8   220.3   568.0
1845   53.3   20.2   43.7   35.0   70.9   41.0   55.9   74.2   34.0   37.9   46.3   68.6    86.6   149.5   171.1   118.2   581.0
1846   66.0   21.7   27.5   81.7   29.0   21.3   45.9   71.7   44.0   95.6   34.6   38.8   156.3   138.2   138.9   174.2   577.7
1847   32.1   25.5   24.2   33.0   57.8   63.7   26.2   47.3   45.0   58.4   47.9   59.5    96.4   115.0   137.2   151.4   520.7
1848   27.0   70.0   82.9   70.6    8.7   89.4   53.5   85.5   91.8  116.7   34.4   46.0   156.5   162.3   228.5   242.8   776.5
1849   38.6   35.7   23.2   54.3   93.9   22.1   63.4   34.1   69.2   71.8   38.3   77.5   120.3   171.4   119.6   179.3   622.2
1850   35.4   24.6   14.8   45.4   56.9   16.0  101.2   39.4   38.1   45.9   52.1   44.2   137.6   117.1   156.6   136.1   514.1
1851   60.8   17.8   93.5   58.3   24.4   37.0   98.7   54.3   21.6   66.7   49.5   20.6   122.8   176.2   189.9   137.8   603.2
1852   89.9   43.5   12.3   14.8   50.4   89.5   50.7  106.1   98.4   90.7  130.4   51.3   154.0    77.6   246.2   319.6   828.1
1853   54.3   49.2   26.3   71.7   35.3   63.4  112.4   67.8   47.5   84.6   39.2   19.8   154.8   133.3   243.6   171.3   671.5
1854   39.4   24.7   13.7   19.5   81.4   26.4   44.1   70.7   18.4   62.3   50.6   53.1    83.8   114.5   141.2   131.3   504.0
1855   21.2   36.7   32.9    5.7   44.3   47.0  113.1   47.5   22.3  109.0   57.9   33.2   110.9    82.8   207.6   189.1   570.6
1856   58.6   27.3   11.5   37.7   69.7   29.7   52.1   57.7   70.5   47.7   54.8   40.8   119.0   118.9   139.5   173.0   558.0
1857   72.7    7.4   26.3   49.1   32.8   53.0   41.7   69.7   91.3  108.1   42.0    9.5   121.0   108.2   164.4   241.4   603.6
1858   17.3   25.2   21.1   47.5   58.8   24.9   80.1   64.4   28.2   53.9   28.7   43.7    52.0   127.4   169.4   110.7   493.7
1859   19.0   31.8   33.5   62.9   38.9   63.7   66.8   61.2   74.3   78.7   47.1   59.9    94.5   135.3   191.6   200.1   637.7
1860   63.1   36.5   57.0   27.8   92.0  120.2   51.6   98.1   68.3   41.9   62.8   51.7   159.5   176.8   269.9   173.0   770.9
1861   24.6   51.0   49.9   22.8   29.5   46.6   83.4   16.8   38.9   19.7   96.3   33.5   127.2   102.2   146.8   154.8   512.8
1862   40.0   12.1   80.9   44.3   63.6   55.6   43.4   64.6   50.8   66.4   33.8   42.5    85.6   188.9   163.6   151.0   598.1
1863   57.9   11.4   21.3   22.2   22.6   76.8   22.2   47.1   63.9   59.5   57.8   26.0   111.9    66.2   146.1   181.3   489.0
1864   19.6   26.2   70.1   14.0   54.0   37.2   16.2   23.6   47.3   28.9   57.5   20.4    71.7   138.1    77.0   133.6   414.9
1865   67.2   54.7   46.9   10.8   40.9   39.9   99.0  110.1    6.6  153.9   47.9   27.1   142.4    98.6   249.0   208.3   705.0
1866   65.6   83.1   36.0   43.6   41.9   67.4   64.8   67.5   84.0   26.6   59.7   57.4   175.7   121.5   199.8   170.3   697.6
1867   71.3   34.3   46.4   56.8   82.2   25.1   90.5   44.8   51.2   57.3   17.9   57.5   162.9   185.4   160.4   126.4   635.3
1868   59.0   33.2   45.5   39.8   19.7   18.6    8.4   62.5   54.4   63.0   33.5  105.9   149.7   105.1    89.6   150.9   543.7
1869   53.1   59.4   53.6   35.3   77.2   33.3   15.9   41.0   79.1   52.9   57.3   96.9   218.5   166.1    90.2   189.2   655.0
1870   27.6   22.9   41.3   15.6   18.5   26.3   44.9   47.7   40.7   82.0   28.5   84.6   147.5    75.4   118.8   151.1   480.5
1871   26.8   42.7   29.5   73.8   23.8   75.7   75.9   18.5  107.2   29.8   35.2   30.6   154.1   127.1   170.1   172.2   569.6
1872   76.5   25.3   62.8   53.6   62.4   71.4  102.0   71.3   47.5   87.1   93.8   88.2   132.4   178.8   244.7   228.3   841.8
1873   55.2   43.6   40.3   24.8   49.2   51.2   53.7   53.5   63.0   62.4   41.9   13.9   187.0   114.2   158.4   167.2   552.7
1874   30.2   24.6   20.4   31.6   27.3   42.2   30.9   37.4   69.7   55.9   56.7   52.5    68.7    79.3   110.5   182.3   479.4
1875   55.6   26.4   13.3   28.4   46.6   69.9  143.6   28.7   62.7   90.7  116.8   36.1   134.4    88.3   242.2   270.2   718.8
1876   40.5   62.4   67.5   65.5   21.5   46.1   40.6   47.9  110.2   27.4   75.6  108.0   138.9   154.6   134.6   213.2   713.1
1877   85.6   56.9   58.0   63.8   47.5   31.2   78.3   83.6   43.0   39.7   78.8   51.2   250.4   169.3   193.0   161.5   717.5
1878   40.3   32.0   25.8   43.2  103.7   46.2   22.9  111.2   36.0   53.3  130.1   38.1   123.4   172.6   180.2   219.5   682.6
1879   43.6   73.4   22.6   61.9   68.3  105.6  113.5  106.9   79.4   23.9   35.6   18.3   155.1   152.8   325.9   138.9   752.9
1880    5.5   46.8   22.6   49.2   16.9   73.3  122.4   41.4   90.8  127.9   55.8   63.8    70.6    88.7   237.2   274.5   716.4
1881   28.2   67.9   41.6   28.3   24.2   48.4   47.2  109.3   63.7   70.0   53.0   78.9   159.9    94.1   204.9   186.7   660.7
1882   36.7   35.9   36.9   74.3   38.1   70.7   65.2   48.5   65.3  131.9   77.1   80.9   151.5   149.3   184.4   274.2   761.5
1883   46.2   72.0   32.1   40.5   36.8   74.7   74.9   23.6   96.7   62.1   79.1   41.6   199.1   109.4   173.3   237.9   680.4
1884   44.8   21.5   28.9   31.5   18.6   30.7   62.0   34.7   64.8   51.7   37.0   58.6   107.8    79.0   127.4   153.6   484.9
1885   47.1   56.6   29.0   41.5   69.5   37.6   19.6   37.1  109.5  123.9   77.1   26.4   162.4   140.1    94.3   310.5   675.1
1886   67.3    8.7   37.7   35.9   75.7   17.6   86.9   44.6   33.1   71.6   69.0   91.0   102.5   149.3   149.0   173.7   639.0
1887   40.6   15.1   38.4   31.2   49.5   13.3   25.6   44.5   58.5   55.6   64.5   31.4   146.7   119.1    83.4   178.5   468.1
1888   23.0   41.0   70.5   42.7   22.1   48.8  114.0   70.4   34.9   28.5   84.2   30.7    95.3   135.3   233.2   147.6   610.7
1889   21.1   43.0   33.1   53.3   89.1   44.6   75.9   67.8   65.6   93.0   30.3   32.9    94.7   175.5   188.3   188.8   649.6
1890   54.2   21.7   61.7   23.7   45.3   63.4   92.9   57.6   17.0   38.0   66.7   15.0   108.7   130.6   213.9   121.7   557.1
1891   44.8    1.4   37.8   22.9   71.5   37.5   85.7   96.0   24.6  112.4   46.4   76.9    61.3   132.2   219.2   183.3   657.9
1892   21.5   49.1   29.2   36.6   36.3   78.5   62.6   76.8   63.7  137.7   44.6   31.8   147.5   102.1   217.9   246.0   668.4
1893   45.1   66.2    8.4    3.1   26.8   25.5   81.8   51.8   25.6   67.1   73.0   41.8   143.1    38.3   159.1   165.6   516.1
1894   46.5   34.9   22.5   42.8   52.6   59.6   85.9   63.6   39.8   65.5   81.7   53.1   123.2   117.9   209.1   186.9   648.5
1895   64.2    9.3   44.2   29.1   18.1   18.8   91.6   81.6   19.3   64.2   72.7   49.7   126.7    91.3   192.1   156.2   562.9
1896   27.7   14.7   77.8   23.2   11.8   58.2   30.9   59.0  120.9   84.1   28.7   79.3    92.1   112.8   148.1   233.7   616.3
1897   50.0   59.1   67.8   43.9   29.1   57.2   19.1   67.7   78.3   20.1   30.5   46.7   188.4   140.8   144.0   129.0   569.5
1898   23.4   22.9   41.5   33.8   70.3   58.5   31.6   44.9    6.3   59.5   54.6   56.7    93.0   145.6   134.9   120.4   503.9
1899   53.9   33.7   25.6   59.6   49.7   28.5   54.6   26.6   75.8   55.6   70.1   39.2   144.3   135.0   109.6   201.5   572.9
1900   75.7   81.7   21.6   27.8   31.5   66.0   38.7   80.7   16.5   50.3   52.2   66.6   196.6    81.0   185.4   119.0   609.4
1901   15.8   26.3   51.9   52.1   28.5   36.1   43.5   35.9   28.5   51.8   34.5   84.8   108.8   132.4   115.5   114.8   489.7
1902   20.3   25.1   31.8   24.7   74.9   71.5   42.5   79.8   28.9   39.6   36.0   34.2   130.2   131.5   193.8   104.6   509.4
1903   47.0   14.6   53.0   46.4   63.0   94.7  109.1   90.2   68.6  128.3   51.0   32.5    95.8   162.4   294.0   247.9   798.5
1904   47.7   67.8   38.7   21.1   46.1   21.8   64.1   50.1   39.7   29.7   35.5   47.7   148.1   105.9   136.0   105.0   510.2
1905   26.2   26.3   56.6   48.3   30.7   83.2   23.9   65.5   53.0   51.1   54.4   22.2   100.2   135.6   172.6   158.5   541.3
1906   87.1   52.9   42.9   18.7   39.8   70.0   17.6   30.5   31.5   93.6   96.9   57.7   162.1   101.3   118.1   222.0   639.0
1907   29.7   30.9   26.8   71.6   67.8   51.7   47.8   46.6   15.4   77.3   58.9   71.7   118.3   166.1   146.0   151.6   596.2
1908   24.7   38.8   55.8   70.1   36.2   25.5   82.3   61.6   40.6   37.0   27.8   41.7   135.2   162.0   169.4   105.4   542.0
1909   19.9   15.2   71.7   37.9   32.6   94.0   83.9   56.4   53.0  100.2   23.4   95.8    76.8   142.2   234.3   176.6   684.0
1910   45.1   58.0   22.3   50.1   75.3   47.9   70.5   58.8   27.5   42.8   81.0  102.5   198.8   147.6   177.2   151.3   681.7
1911   37.1   32.3   53.6   27.4   31.3   66.1   12.5   25.3   42.8   62.9   82.4   97.5   171.9   112.3   103.9   188.2   571.3
1912   72.4   34.4   67.6    6.0   33.8   71.7   73.4  177.1   58.6   51.6   59.3   62.0   204.3   107.3   322.2   169.5   767.8
1913   67.6   17.0   51.5   53.9   45.2   28.5   41.9   27.4   38.6   86.3   56.5   18.1   146.6   150.5    97.8   181.4   532.3
1914   35.4   40.6   91.1   19.1   30.4   45.2   48.6   30.2   25.2   51.4   65.3  144.3    94.1   140.6   124.0   141.9   626.9
1915   73.6   68.2   35.6   21.4   50.9   28.2  101.8   64.9   39.3   38.3   66.3  105.1   286.1   108.0   194.9   143.9   693.6
1916   33.6   95.2   92.8   37.7   49.0   62.3   35.0   88.1   33.0   64.5   81.5   72.0   233.9   179.5   185.4   179.0   744.8
1917   44.8   19.7   49.1   43.6   32.2   45.6   77.0  117.8   44.0   90.7   39.0   26.6   136.6   124.9   240.4   173.7   630.1
1918   62.6   23.4   19.5   75.2   44.7   22.9   99.5   34.2  123.3   49.3   50.9   68.2   112.6   139.4   156.7   223.5   673.8
1919   76.6   68.9   61.1   67.9   13.0   33.6   72.2   59.1   27.3   39.6   50.7   98.4   213.8   142.0   165.0   117.6   668.6
1920   52.9   15.1   33.8   86.3   35.2   40.5   84.2   40.1   63.8   22.0   20.0   61.2   166.5   155.3   164.8   105.7   555.0
1921   49.9    8.8   24.2   35.1   28.2    9.9    9.1   36.7   38.3   31.1   42.2   36.6   120.0    87.5    55.7   111.6   350.2
1922   83.0   51.2   43.7   65.9   27.8   32.3   99.6   51.5   70.9   24.1   35.2   53.4   170.7   137.3   183.5   130.2   638.6
1923   36.3   75.6   42.3   30.4   34.0   17.1   59.5   58.8   47.7   95.8   55.4   64.6   165.4   106.7   135.5   198.9   617.7
1924   59.8   26.3   17.4   64.2   98.4   49.4   74.0   57.5   72.4  101.0   59.2   60.4   150.7   180.0   180.9   232.6   740.0
1925   30.5   58.3   30.9   49.2   57.6   10.9   55.5   64.5   73.8   65.5   57.5   52.8   149.2   137.6   130.8   196.8   606.8
1926   62.9   55.6    7.2   74.6   43.6   69.6   53.6   36.1   38.1   63.3   90.1   16.3   171.3   125.3   159.4   191.5   610.9
1927   43.8   67.4   50.2   46.9   20.4   91.4   68.6   81.4   98.0   50.6   73.4   60.6   127.5   117.5   241.4   222.0   752.6
1928   84.4   31.9   42.9   30.8   45.2   60.0   54.7   53.4   18.5   69.9   55.4   69.0   176.8   118.9   168.1   143.8   616.1
1929   40.3   14.8    2.1   32.1   34.1   22.4   63.3   28.1   13.8   76.7  106.6  105.6   124.2    68.3   113.8   197.1   539.9
1930   48.3   18.9   35.3   51.0   69.2   24.1   90.9   65.4  107.0   24.0   91.6   53.3   172.8   155.4   180.4   222.7   679.1
1931   46.5   57.8    8.3   82.2   71.8   38.6   86.5   92.0   56.5   19.9   51.9   24.7   157.6   162.3   217.0   128.3   636.7
1932   26.3   11.8   37.9   64.5   98.3   14.7   70.9   51.7   48.0  108.4   34.5   12.8    62.9   200.8   137.2   190.9   580.0
1933   30.6   40.7   49.7   26.0   42.7   53.6   36.6   20.6   62.3   54.1   43.9   13.5    84.2   118.4   110.8   160.3   474.4
1934   33.8   11.3   44.5   52.7   26.1   33.0   37.1   47.5   41.3   38.4   41.3   96.4    58.6   123.4   117.5   121.1   503.6
1935   51.0   54.3   14.1   69.1   31.2   69.8   17.9   36.3   90.9   64.6   93.0   55.5   201.7   114.4   124.0   248.5   647.6
