Year,Month,Depth,sulfate mM,d34s pm,hs mM
2021,2,22,12.49710849,50.9306,8.846799
2021,2,24,13.23806306,49.4949,7.734044
2021,2,26,,49.1182,5.113939
2021,2,28,13.96473573,48.4775,7.544638
2021,2,30,14.778472,46.8728,7.126369
2021,2,32,15.56063741,45.7821,4.829831
2021,2,34,15.43129311,44.5104,5.934695
2021,2,36,,,3.882806
2021,3,0,16.79043032,42.591,5.120715
2021,3,2,14.40950091,49.5767,7.612519
2021,3,4,13.30018536,51.5752,7.505216
2021,3,6,12.26958018,55.0569,
2021,3,8,12.05679523,57.4376,9.084948
2021,3,10,11.40001347,56.2553,8.005961
2021,3,12,11.20636299,57.068,12.92399
2021,3,14,,54.2177,7.517139
2021,3,16,11.62456459,54.6494,13.53204
2021,3,18,11.65702988,54.4581,13.34724
2021,3,20,,52.6958,12.01192
2021,3,22,12.71477712,51.5085,11.64232
2021,3,24,13.18271967,48.8822,9.4307
2021,3,26,,,
2021,3,28,14.3537056,47.6159,7.320417
2021,3,30,14.7071829,47.1416,6.622951
2021,3,32,15.04965954,45.8323,7.61848
2021,3,34,15.47915579,44.98,5.663189
2021,3,36,15.65165845,44.9987,
2021,4,0,17.70299493,36.5312,4.828614
2021,4,2,14.93042591,46.1068,6.181818
2021,4,4,12.99970583,51.9704,8.393443
2021,4,6,12.08096747,55.078,
2021,4,8,12.57618031,52.8316,9.877794
2021,4,10,11.75241892,55.4862,9.538003
2021,4,12,11.31324735,56.5318,13.6155
2021,4,14,,57.3494,11.92846
2021,4,16,11.40268024,55.803,13.35917
2021,4,18,11.90157089,53.8346,14.17586
2021,4,20,12.02846949,52.5242,11.64232
2021,4,22,12.48213844,51.7688,12.41133
2021,4,24,12.51344072,50.0074,13.20417
2021,4,26,,,
2021,4,28,14.09322017,47.906,9.007452
2021,4,30,14.51432613,47.5346,6.187779
2021,4,32,14.70823556,46.1432,5.657228
2021,4,34,15.10700294,45.9468,5.210134
2021,4,36,15.52726071,44.2774,4.822653
2021,5,0,15.80676081,44.321,8.76574
2021,5,2,14.48073734,48.3077,8.725592
2021,5,4,13.76263871,52.0032,9.127076
2021,5,6,12.79002568,54.7089,11.18803
2021,5,8,11.88694793,57.7746,5.90851
2021,5,10,12.07688594,57.3193,12.61999
2021,5,12,12.2233499,57.034,10.77985
2021,5,14,,,5.701077
2021,5,16,12.70482764,53.5687,11.96423
2021,5,18,,55.3584,8.825963
2021,5,20,12.69779673,,10.25123
2021,5,22,12.99052449,53.0091,8.223736
2021,5,24,13.47608062,51.0058,5.727842
2021,5,26,,,4.402944
2021,5,28,14.51212347,48.1205,4.924874
